Index,Question,A,B,C,D,answer
01,This is Que of Eg 1,opt1,opt2,opt3,opt4,3
02,This is Que of Eg 2,opt1,opt2,opt3,opt4,3
03,This is Que of Eg 3,opt1,opt2,opt3,opt4,3
04,This is Que of Eg 4,opt1,opt2,opt3,opt4,3
05,This is Que of Eg 5,opt1,opt2,opt3,opt4,3
06,This is Que of Eg 6,opt1,opt2,opt3,opt4,3
07,This is Que of Eg 7,opt1,opt2,opt3,opt4,3
08,This is Que of Eg 8,opt1,opt2,opt3,opt4,3
09,This is Que of Eg 9,opt1,opt2,opt3,opt4,3
10,This is Que of Eg 10,opt1,opt2,opt3,opt4,3
11,This is Que of Eg 11,opt1,opt2,opt3,opt4,3
12,This is Que of Eg 12,opt1,opt2,opt3,opt4,3
13,This is Que of Eg 13,opt1,opt2,opt3,opt4,3
14,This is Que of Eg 14,opt1,opt2,opt3,opt4,3
15,This is Que of Eg 15,opt1,opt2,opt3,opt4,3
16,This is Que of Eg 16,opt1,opt2,opt3,opt4,3
17,This is Que of Eg 17,opt1,opt2,opt3,opt4,3
18,This is Que of Eg 18,opt1,opt2,opt3,opt4,3
19,This is Que of Eg 19,opt1,opt2,opt3,opt4,3
20,This is Que of Eg 20,opt1,opt2,opt3,opt4,3
21,This is Que of Eg 21,opt1,opt2,opt3,opt4,3
22,This is Que of Eg 22,opt1,opt2,opt3,opt4,3
23,This is Que of Eg 23,opt1,opt2,opt3,opt4,3
24,This is Que of Eg 24,opt1,opt2,opt3,opt4,3
25,This is Que of Eg 25,opt1,opt2,opt3,opt4,3
26,This is Que of Eg 26,opt1,opt2,opt3,opt4,3
27,This is Que of Eg 27,opt1,opt2,opt3,opt4,3
28,This is Que of Eg 28,opt1,opt2,opt3,opt4,3
29,This is Que of Eg 29,opt1,opt2,opt3,opt4,3
30,This is Que of Eg 30,opt1,opt2,opt3,opt4,3
31,This is Que of Eg 31,opt1,opt2,opt3,opt4,3
32,This is Que of Eg 32,opt1,opt2,opt3,opt4,3
33,This is Que of Eg 33,opt1,opt2,opt3,opt4,3
34,This is Que of Eg 34,opt1,opt2,opt3,opt4,3
35,This is Que of Eg 35,opt1,opt2,opt3,opt4,3
36,This is Que of Eg 36,opt1,opt2,opt3,opt4,3
37,This is Que of Eg 37,opt1,opt2,opt3,opt4,3
38,This is Que of Eg 38,opt1,opt2,opt3,opt4,3
39,This is Que of Eg 39,opt1,opt2,opt3,opt4,3
40,This is Que of Eg 40,opt1,opt2,opt3,opt4,3
41,This is Que of Eg 41,opt1,opt2,opt3,opt4,3
42,This is Que of Eg 42,opt1,opt2,opt3,opt4,3
43,This is Que of Eg 43,opt1,opt2,opt3,opt4,3
44,This is Que of Eg 44,opt1,opt2,opt3,opt4,3
45,This is Que of Eg 45,opt1,opt2,opt3,opt4,3
46,This is Que of Eg 46,opt1,opt2,opt3,opt4,3
47,This is Que of Eg 47,opt1,opt2,opt3,opt4,3
48,This is Que of Eg 48,opt1,opt2,opt3,opt4,3
49,This is Que of Eg 49,opt1,opt2,opt3,opt4,3
50,This is Que of Eg 50,opt1,opt2,opt3,opt4,3
51,This is Que of Eg 51,opt1,opt2,opt3,opt4,3
52,This is Que of Eg 52,opt1,opt2,opt3,opt4,3
53,This is Que of Eg 53,opt1,opt2,opt3,opt4,3
54,This is Que of Eg 54,opt1,opt2,opt3,opt4,3
55,This is Que of Eg 55,opt1,opt2,opt3,opt4,3
56,This is Que of Eg 56,opt1,opt2,opt3,opt4,3
57,This is Que of Eg 57,opt1,opt2,opt3,opt4,3
58,This is Que of Eg 58,opt1,opt2,opt3,opt4,3
59,This is Que of Eg 59,opt1,opt2,opt3,opt4,3
60,This is Que of Eg 60,opt1,opt2,opt3,opt4,3
61,This is Que of Eg 61,opt1,opt2,opt3,opt4,3
62,This is Que of Eg 62,opt1,opt2,opt3,opt4,3
63,This is Que of Eg 63,opt1,opt2,opt3,opt4,3
64,This is Que of Eg 64,opt1,opt2,opt3,opt4,3
65,This is Que of Eg 65,opt1,opt2,opt3,opt4,3
66,This is Que of Eg 66,opt1,opt2,opt3,opt4,3
67,This is Que of Eg 67,opt1,opt2,opt3,opt4,3
68,This is Que of Eg 68,opt1,opt2,opt3,opt4,3
69,This is Que of Eg 69,opt1,opt2,opt3,opt4,3
70,This is Que of Eg 70,opt1,opt2,opt3,opt4,3
71,This is Que of Eg 71,opt1,opt2,opt3,opt4,3
72,This is Que of Eg 72,opt1,opt2,opt3,opt4,3
73,This is Que of Eg 73,opt1,opt2,opt3,opt4,3
74,This is Que of Eg 74,opt1,opt2,opt3,opt4,3
75,This is Que of Eg 75,opt1,opt2,opt3,opt4,3
76,This is Que of Eg 76,opt1,opt2,opt3,opt4,3
77,This is Que of Eg 77,opt1,opt2,opt3,opt4,3
78,This is Que of Eg 78,opt1,opt2,opt3,opt4,3
79,This is Que of Eg 79,opt1,opt2,opt3,opt4,3
80,This is Que of Eg 80,opt1,opt2,opt3,opt4,3
81,This is Que of Eg 81,opt1,opt2,opt3,opt4,3
82,This is Que of Eg 82,opt1,opt2,opt3,opt4,3
83,This is Que of Eg 83,opt1,opt2,opt3,opt4,3
84,This is Que of Eg 84,opt1,opt2,opt3,opt4,3
85,This is Que of Eg 85,opt1,opt2,opt3,opt4,3
86,This is Que of Eg 86,opt1,opt2,opt3,opt4,3
87,This is Que of Eg 87,opt1,opt2,opt3,opt4,3
88,This is Que of Eg 88,opt1,opt2,opt3,opt4,3
89,This is Que of Eg 89,opt1,opt2,opt3,opt4,3
