Index,Question,A,B,C,D,answer
01,This is Que of food 1,opt1,opt2,opt3,opt4,3
02,This is new que,new opt1,new opt2,new opt3,new opt4,3
03,This is Que of food 3,opt1,opt2,opt3,opt4,3
04,This is Que of food 4,opt1,opt2,opt3,opt4,3
05,This is Que of food 5,opt1,opt2,opt3,opt4,3
06,This is Que of food 6,opt1,opt2,opt3,opt4,3
07,This is Que of food 7,opt1,opt2,opt3,opt4,3
08,This is Que of food 8,opt1,opt2,opt3,opt4,3
09,This is Que of food 9,opt1,opt2,opt3,opt4,3
10,This is Que of food 10,opt1,opt2,opt3,opt4,3
11,This is Que of food 11,opt1,opt2,opt3,opt4,3
12,This is Que of food 12,opt1,opt2,opt3,opt4,3
13,This is Que of food 13,opt1,opt2,opt3,opt4,3
14,This is Que of food 14,opt1,opt2,opt3,opt4,3
15,This is Que of food 15,opt1,opt2,opt3,opt4,3
16,This is Que of food 16,opt1,opt2,opt3,opt4,3
17,This is Que of food 17,opt1,opt2,opt3,opt4,3
18,This is Que of food 18,opt1,opt2,opt3,opt4,3
19,This is Que of food 19,opt1,opt2,opt3,opt4,3
20,This is Que of food 20,opt1,opt2,opt3,opt4,3
21,This is Que of food 21,opt1,opt2,opt3,opt4,3
22,This is Que of food 22,opt1,opt2,opt3,opt4,3
23,This is Que of food 23,opt1,opt2,opt3,opt4,3
24,This is Que of food 24,opt1,opt2,opt3,opt4,3
25,This is Que of food 25,opt1,opt2,opt3,opt4,3
26,This is Que of food 26,opt1,opt2,opt3,opt4,3
27,This is Que of food 27,opt1,opt2,opt3,opt4,3
28,This is Que of food 28,opt1,opt2,opt3,opt4,3
29,This is Que of food 29,opt1,opt2,opt3,opt4,3
30,This is Que of food 30,opt1,opt2,opt3,opt4,3
31,This is Que of food 31,opt1,opt2,opt3,opt4,3
32,This is Que of food 32,opt1,opt2,opt3,opt4,3
33,This is Que of food 33,opt1,opt2,opt3,opt4,3
34,This is Que of food 34,opt1,opt2,opt3,opt4,3
35,This is Que of food 35,opt1,opt2,opt3,opt4,3
36,This is Que of food 36,opt1,opt2,opt3,opt4,3
37,This is Que of food 37,opt1,opt2,opt3,opt4,3
38,This is Que of food 38,opt1,opt2,opt3,opt4,3
39,This is Que of food 39,opt1,opt2,opt3,opt4,3
40,This is Que of food 40,opt1,opt2,opt3,opt4,3
41,This is Que of food 41,opt1,opt2,opt3,opt4,3
42,This is Que of food 42,opt1,opt2,opt3,opt4,3
43,This is Que of food 43,opt1,opt2,opt3,opt4,3
44,This is Que of food 44,opt1,opt2,opt3,opt4,3
45,This is Que of food 45,opt1,opt2,opt3,opt4,3
46,This is Que of food 46,opt1,opt2,opt3,opt4,3
47,This is Que of food 47,opt1,opt2,opt3,opt4,3
48,This is Que of food 48,opt1,opt2,opt3,opt4,3
49,This is Que of food 49,opt1,opt2,opt3,opt4,3
50,This is Que of food 50,opt1,opt2,opt3,opt4,3
51,This is Que of food 51,opt1,opt2,opt3,opt4,3
52,This is Que of food 52,opt1,opt2,opt3,opt4,3
53,This is Que of food 53,opt1,opt2,opt3,opt4,3
54,This is Que of food 54,opt1,opt2,opt3,opt4,3
55,This is Que of food 55,opt1,opt2,opt3,opt4,3
56,This is Que of food 56,opt1,opt2,opt3,opt4,3
