Index,Question,A,B,C,D,answer
01,This is Que of hin 1,opt1,opt2,opt3,opt4,3
02,This is Que of hin 2,opt1,opt2,opt3,opt4,3
03,This is Que of hin 3,opt1,opt2,opt3,opt4,3
04,This is Que of hin 4,opt1,opt2,opt3,opt4,3
05,This is Que of hin 5,opt1,opt2,opt3,opt4,3
06,This is Que of hin 6,opt1,opt2,opt3,opt4,3
07,This is Que of hin 7,opt1,opt2,opt3,opt4,3
08,This is Que of hin 8,opt1,opt2,opt3,opt4,3
09,This is Que of hin 9,opt1,opt2,opt3,opt4,3
10,This is Que of hin 10,opt1,opt2,opt3,opt4,3
11,This is Que of hin 11,opt1,opt2,opt3,opt4,3
12,This is Que of hin 12,opt1,opt2,opt3,opt4,3
13,This is Que of hin 13,opt1,opt2,opt3,opt4,3
14,This is Que of hin 14,opt1,opt2,opt3,opt4,3
15,This is Que of hin 15,opt1,opt2,opt3,opt4,3
16,This is Que of hin 16,opt1,opt2,opt3,opt4,3
17,This is Que of hin 17,opt1,opt2,opt3,opt4,3
18,This is Que of hin 18,opt1,opt2,opt3,opt4,3
19,This is Que of hin 19,opt1,opt2,opt3,opt4,3
20,This is Que of hin 20,opt1,opt2,opt3,opt4,3
21,This is Que of hin 21,opt1,opt2,opt3,opt4,3
22,This is Que of hin 22,opt1,opt2,opt3,opt4,3
23,This is Que of hin 23,opt1,opt2,opt3,opt4,3
24,This is Que of hin 24,opt1,opt2,opt3,opt4,3
25,This is Que of hin 25,opt1,opt2,opt3,opt4,3
26,This is Que of hin 26,opt1,opt2,opt3,opt4,3
27,This is Que of hin 27,opt1,opt2,opt3,opt4,3
28,This is Que of hin 28,opt1,opt2,opt3,opt4,3
29,This is Que of hin 29,opt1,opt2,opt3,opt4,3
30,This is Que of hin 30,opt1,opt2,opt3,opt4,3
31,This is Que of hin 31,opt1,opt2,opt3,opt4,3
32,This is Que of hin 32,opt1,opt2,opt3,opt4,3
33,This is Que of hin 33,opt1,opt2,opt3,opt4,3
34,This is Que of hin 34,opt1,opt2,opt3,opt4,3
35,This is Que of hin 35,opt1,opt2,opt3,opt4,3
36,This is Que of hin 36,opt1,opt2,opt3,opt4,3
37,This is Que of hin 37,opt1,opt2,opt3,opt4,3
38,This is Que of hin 38,opt1,opt2,opt3,opt4,3
39,This is Que of hin 39,opt1,opt2,opt3,opt4,3
40,This is Que of hin 40,opt1,opt2,opt3,opt4,3
41,This is Que of hin 41,opt1,opt2,opt3,opt4,3
42,This is Que of hin 42,opt1,opt2,opt3,opt4,3
43,This is Que of hin 43,opt1,opt2,opt3,opt4,3
44,This is Que of hin 44,opt1,opt2,opt3,opt4,3
45,This is Que of hin 45,opt1,opt2,opt3,opt4,3
46,This is Que of hin 46,opt1,opt2,opt3,opt4,3
47,This is Que of hin 47,opt1,opt2,opt3,opt4,3
48,This is Que of hin 48,opt1,opt2,opt3,opt4,3
49,This is Que of hin 49,opt1,opt2,opt3,opt4,3
50,This is Que of hin 50,opt1,opt2,opt3,opt4,3
51,This is Que of hin 51,opt1,opt2,opt3,opt4,3
52,This is Que of hin 52,opt1,opt2,opt3,opt4,3
53,This is Que of hin 53,opt1,opt2,opt3,opt4,3
54,This is Que of hin 54,opt1,opt2,opt3,opt4,3
55,This is Que of hin 55,opt1,opt2,opt3,opt4,3
56,This is Que of hin 56,opt1,opt2,opt3,opt4,3
57,This is Que of hin 57,opt1,opt2,opt3,opt4,3
58,This is Que of hin 58,opt1,opt2,opt3,opt4,3
59,This is Que of hin 59,opt1,opt2,opt3,opt4,3
60,This is Que of hin 60,opt1,opt2,opt3,opt4,3
61,This is Que of hin 61,opt1,opt2,opt3,opt4,3
62,This is Que of hin 62,opt1,opt2,opt3,opt4,3
63,This is Que of hin 63,opt1,opt2,opt3,opt4,3
64,This is Que of hin 64,opt1,opt2,opt3,opt4,3
65,This is Que of hin 65,opt1,opt2,opt3,opt4,3
66,This is Que of hin 66,opt1,opt2,opt3,opt4,3
67,This is Que of hin 67,opt1,opt2,opt3,opt4,3
68,This is Que of hin 68,opt1,opt2,opt3,opt4,3
69,This is Que of hin 69,opt1,opt2,opt3,opt4,3
70,This is Que of hin 70,opt1,opt2,opt3,opt4,3
71,This is Que of hin 71,opt1,opt2,opt3,opt4,3
72,This is Que of hin 72,opt1,opt2,opt3,opt4,3
73,This is Que of hin 73,opt1,opt2,opt3,opt4,3
74,This is Que of hin 74,opt1,opt2,opt3,opt4,3
75,This is Que of hin 75,opt1,opt2,opt3,opt4,3
76,This is Que of hin 76,opt1,opt2,opt3,opt4,3
77,This is Que of hin 77,opt1,opt2,opt3,opt4,3
78,This is Que of hin 78,opt1,opt2,opt3,opt4,3
79,This is Que of hin 79,opt1,opt2,opt3,opt4,3
80,This is Que of hin 80,opt1,opt2,opt3,opt4,3
81,This is Que of hin 81,opt1,opt2,opt3,opt4,3
82,This is Que of hin 82,opt1,opt2,opt3,opt4,3
83,This is Que of hin 83,opt1,opt2,opt3,opt4,3
84,This is Que of hin 84,opt1,opt2,opt3,opt4,3
85,This is Que of hin 85,opt1,opt2,opt3,opt4,3
86,This is Que of hin 86,opt1,opt2,opt3,opt4,3
87,This is Que of hin 87,opt1,opt2,opt3,opt4,3
88,This is Que of hin 88,opt1,opt2,opt3,opt4,3
89,This is Que of hin 89,opt1,opt2,opt3,opt4,3
90,This is Que of hin 90,opt1,opt2,opt3,opt4,3
91,This is Que of hin 91,opt1,opt2,opt3,opt4,3
92,This is Que of hin 92,opt1,opt2,opt3,opt4,3
93,This is Que of hin 93,opt1,opt2,opt3,opt4,3
94,This is Que of hin 94,opt1,opt2,opt3,opt4,3
95,This is Que of hin 95,opt1,opt2,opt3,opt4,3
96,This is Que of hin 96,opt1,opt2,opt3,opt4,3
97,This is Que of hin 97,opt1,opt2,opt3,opt4,3
98,This is Que of hin 98,opt1,opt2,opt3,opt4,3
99,This is Que of hin 99,opt1,opt2,opt3,opt4,3
100,This is Que of hin 100,opt1,opt2,opt3,opt4,3
