Index,Question,A,B,C,D,answer
01,This is Que of MA 1,opt1,opt2,opt3,opt4,3
02,This is Que of MA 2,opt1,opt2,opt3,opt4,3
03,This is Que of MA 3,opt1,opt2,opt3,opt4,3
04,This is Que of MA 4,opt1,opt2,opt3,opt4,3
05,This is Que of MA 5,opt1,opt2,opt3,opt4,3
06,This is Que of MA 6,opt1,opt2,opt3,opt4,3
07,This is Que of MA 7,opt1,opt2,opt3,opt4,3
08,This is Que of MA 8,opt1,opt2,opt3,opt4,3
09,This is Que of MA 9,opt1,opt2,opt3,opt4,3
10,This is Que of MA 10,opt1,opt2,opt3,opt4,3
11,This is Que of MA 11,opt1,opt2,opt3,opt4,3
12,This is Que of MA 12,opt1,opt2,opt3,opt4,3
13,This is Que of MA 13,opt1,opt2,opt3,opt4,3
14,This is Que of MA 14,opt1,opt2,opt3,opt4,3
15,This is Que of MA 15,opt1,opt2,opt3,opt4,3
16,This is Que of MA 16,opt1,opt2,opt3,opt4,3
17,This is Que of MA 17,opt1,opt2,opt3,opt4,3
18,This is Que of MA 18,opt1,opt2,opt3,opt4,3
19,This is Que of MA 19,opt1,opt2,opt3,opt4,3
20,This is Que of MA 20,opt1,opt2,opt3,opt4,3
21,This is Que of MA 21,opt1,opt2,opt3,opt4,3
22,This is Que of MA 22,opt1,opt2,opt3,opt4,3
23,This is Que of MA 23,opt1,opt2,opt3,opt4,3
24,This is Que of MA 24,opt1,opt2,opt3,opt4,3
25,This is Que of MA 25,opt1,opt2,opt3,opt4,3
26,This is Que of MA 26,opt1,opt2,opt3,opt4,3
27,This is Que of MA 27,opt1,opt2,opt3,opt4,3
28,This is Que of MA 28,opt1,opt2,opt3,opt4,3
29,This is Que of MA 29,opt1,opt2,opt3,opt4,3
30,This is Que of MA 30,opt1,opt2,opt3,opt4,3
31,This is Que of MA 31,opt1,opt2,opt3,opt4,3
32,This is Que of MA 32,opt1,opt2,opt3,opt4,3
33,This is Que of MA 33,opt1,opt2,opt3,opt4,3
34,This is Que of MA 34,opt1,opt2,opt3,opt4,3
35,This is Que of MA 35,opt1,opt2,opt3,opt4,3
