Index,Question,A,B,C,D,answer
01,This is Que of mu 1,opt1,opt2,opt3,opt4,3
02,This is Que of mu 2,opt1,opt2,opt3,opt4,3
03,This is Que of mu 3,opt1,opt2,opt3,opt4,3
04,This is Que of mu 4,opt1,opt2,opt3,opt4,3
05,This is Que of mu 5,opt1,opt2,opt3,opt4,3
06,This is Que of mu 6,opt1,opt2,opt3,opt4,3
07,This is Que of mu 7,opt1,opt2,opt3,opt4,3
08,This is Que of mu 8,opt1,opt2,opt3,opt4,3
09,This is Que of mu 9,opt1,opt2,opt3,opt4,3
10,This is Que of mu 10,opt1,opt2,opt3,opt4,3
11,This is Que of mu 11,opt1,opt2,opt3,opt4,3
12,This is Que of mu 12,opt1,opt2,opt3,opt4,3
13,This is Que of mu 13,opt1,opt2,opt3,opt4,3
14,This is Que of mu 14,opt1,opt2,opt3,opt4,3
15,This is Que of mu 15,opt1,opt2,opt3,opt4,3
16,This is Que of mu 16,opt1,opt2,opt3,opt4,3
17,This is Que of mu 17,opt1,opt2,opt3,opt4,3
18,This is Que of mu 18,opt1,opt2,opt3,opt4,3
19,This is Que of mu 19,opt1,opt2,opt3,opt4,3
20,This is Que of mu 20,opt1,opt2,opt3,opt4,3
21,This is Que of mu 21,opt1,opt2,opt3,opt4,3
22,This is Que of mu 22,opt1,opt2,opt3,opt4,3
23,This is Que of mu 23,opt1,opt2,opt3,opt4,3
24,This is Que of mu 24,opt1,opt2,opt3,opt4,3
25,This is Que of mu 25,opt1,opt2,opt3,opt4,3
26,This is Que of mu 26,opt1,opt2,opt3,opt4,3
27,This is Que of mu 27,opt1,opt2,opt3,opt4,3
28,This is Que of mu 28,opt1,opt2,opt3,opt4,3
29,This is Que of mu 29,opt1,opt2,opt3,opt4,3
30,This is Que of mu 30,opt1,opt2,opt3,opt4,3
31,This is Que of mu 31,opt1,opt2,opt3,opt4,3
32,This is Que of mu 32,opt1,opt2,opt3,opt4,3
33,This is Que of mu 33,opt1,opt2,opt3,opt4,3
34,This is Que of mu 34,opt1,opt2,opt3,opt4,3
35,This is Que of mu 35,opt1,opt2,opt3,opt4,3
36,This is Que of mu 36,opt1,opt2,opt3,opt4,3
37,This is Que of mu 37,opt1,opt2,opt3,opt4,3
38,This is Que of mu 38,opt1,opt2,opt3,opt4,3
39,This is Que of mu 39,opt1,opt2,opt3,opt4,3
40,This is Que of mu 40,opt1,opt2,opt3,opt4,3
41,This is Que of mu 41,opt1,opt2,opt3,opt4,3
42,This is Que of mu 42,opt1,opt2,opt3,opt4,3
43,This is Que of mu 43,opt1,opt2,opt3,opt4,3
44,This is Que of mu 44,opt1,opt2,opt3,opt4,3
45,This is Que of mu 45,opt1,opt2,opt3,opt4,3
46,This is Que of mu 46,opt1,opt2,opt3,opt4,3
47,This is Que of mu 47,opt1,opt2,opt3,opt4,3
48,This is Que of mu 48,opt1,opt2,opt3,opt4,3
49,This is Que of mu 49,opt1,opt2,opt3,opt4,3
50,This is Que of mu 50,opt1,opt2,opt3,opt4,3
51,This is Que of mu 51,opt1,opt2,opt3,opt4,3
52,This is Que of mu 52,opt1,opt2,opt3,opt4,3
53,This is Que of mu 53,opt1,opt2,opt3,opt4,3
54,This is Que of mu 54,opt1,opt2,opt3,opt4,3
55,This is Que of mu 55,opt1,opt2,opt3,opt4,3
56,This is Que of mu 56,opt1,opt2,opt3,opt4,3
57,This is Que of mu 57,opt1,opt2,opt3,opt4,3
58,This is Que of mu 58,opt1,opt2,opt3,opt4,3
59,This is Que of mu 59,opt1,opt2,opt3,opt4,3
60,This is Que of mu 60,opt1,opt2,opt3,opt4,3
61,This is Que of mu 61,opt1,opt2,opt3,opt4,3
62,This is Que of mu 62,opt1,opt2,opt3,opt4,3
63,This is Que of mu 63,opt1,opt2,opt3,opt4,3
64,This is Que of mu 64,opt1,opt2,opt3,opt4,3
65,This is Que of mu 65,opt1,opt2,opt3,opt4,3
66,This is Que of mu 66,opt1,opt2,opt3,opt4,3
67,This is Que of mu 67,opt1,opt2,opt3,opt4,3
68,This is Que of mu 68,opt1,opt2,opt3,opt4,3
69,This is Que of mu 69,opt1,opt2,opt3,opt4,3
70,This is Que of mu 70,opt1,opt2,opt3,opt4,3
71,This is Que of mu 71,opt1,opt2,opt3,opt4,3
72,This is Que of mu 72,opt1,opt2,opt3,opt4,3
73,This is Que of mu 73,opt1,opt2,opt3,opt4,3
74,This is Que of mu 74,opt1,opt2,opt3,opt4,3
75,This is Que of mu 75,opt1,opt2,opt3,opt4,3
76,This is Que of mu 76,opt1,opt2,opt3,opt4,3
77,This is Que of mu 77,opt1,opt2,opt3,opt4,3
78,This is Que of mu 78,opt1,opt2,opt3,opt4,3
79,This is Que of mu 79,opt1,opt2,opt3,opt4,3
80,This is Que of mu 80,opt1,opt2,opt3,opt4,3
81,This is Que of mu 81,opt1,opt2,opt3,opt4,3
82,This is Que of mu 82,opt1,opt2,opt3,opt4,3
83,This is Que of mu 83,opt1,opt2,opt3,opt4,3
84,This is Que of mu 84,opt1,opt2,opt3,opt4,3
85,This is Que of mu 85,opt1,opt2,opt3,opt4,3
86,This is Que of mu 86,opt1,opt2,opt3,opt4,3
87,This is Que of mu 87,opt1,opt2,opt3,opt4,3
88,This is Que of mu 88,opt1,opt2,opt3,opt4,3
89,This is Que of mu 89,opt1,opt2,opt3,opt4,3
90,This is Que of mu 90,opt1,opt2,opt3,opt4,3
91,This is Que of mu 91,opt1,opt2,opt3,opt4,3
92,This is Que of mu 92,opt1,opt2,opt3,opt4,3
93,This is Que of mu 93,opt1,opt2,opt3,opt4,3
94,This is Que of mu 94,opt1,opt2,opt3,opt4,3
95,This is Que of mu 95,opt1,opt2,opt3,opt4,3
96,This is Que of mu 96,opt1,opt2,opt3,opt4,3
97,This is Que of mu 97,opt1,opt2,opt3,opt4,3
98,This is Que of mu 98,opt1,opt2,opt3,opt4,3
99,This is Que of mu 99,opt1,opt2,opt3,opt4,3
100,This is Que of mu 100,opt1,opt2,opt3,opt4,3
