Index,Question,A,B,C,D,answer
1,This is Que of pol 1,opt1,opt2,opt3,opt4,3
2,This is Que of pol 2,opt1,opt2,opt3,opt4,3
3,This is Que of pol 3,opt1,opt2,opt3,opt4,3
4,This is Que of pol 4,opt1,opt2,opt3,opt4,3
5,This is Que of pol 5,opt1,opt2,opt3,opt4,3
6,This is Que of pol 6,opt1,opt2,opt3,opt4,3
7,This is Que of pol 7,opt1,opt2,opt3,opt4,3
8,This is Que of pol 8,opt1,opt2,opt3,opt4,3
9,This is Que of pol 9,opt1,opt2,opt3,opt4,3
10,This is Que of pol 10,opt1,opt2,opt3,opt4,3
11,This is Que of pol 11,opt1,opt2,opt3,opt4,3
12,This is Que of pol 12,opt1,opt2,opt3,opt4,3
13,This is Que of pol 13,opt1,opt2,opt3,opt4,3
14,This is Que of pol 14,opt1,opt2,opt3,opt4,3
15,This is Que of pol 15,opt1,opt2,opt3,opt4,3
16,This is Que of pol 16,opt1,opt2,opt3,opt4,3
17,This is Que of pol 17,opt1,opt2,opt3,opt4,3
18,This is Que of pol 18,opt1,opt2,opt3,opt4,3
19,This is Que of pol 19,opt1,opt2,opt3,opt4,3
20,This is Que of pol 20,opt1,opt2,opt3,opt4,3
21,This is Que of pol 21,opt1,opt2,opt3,opt4,3
22,This is Que of pol 22,opt1,opt2,opt3,opt4,3
23,This is Que of pol 23,opt1,opt2,opt3,opt4,3
24,This is Que of pol 24,opt1,opt2,opt3,opt4,3
25,This is Que of pol 25,opt1,opt2,opt3,opt4,3
26,This is Que of pol 26,opt1,opt2,opt3,opt4,3
27,This is Que of pol 27,opt1,opt2,opt3,opt4,3
28,This is Que of pol 28,opt1,opt2,opt3,opt4,3
29,This is Que of pol 29,opt1,opt2,opt3,opt4,3
30,This is Que of pol 30,opt1,opt2,opt3,opt4,3
31,This is Que of pol 31,opt1,opt2,opt3,opt4,3
32,This is Que of pol 32,opt1,opt2,opt3,opt4,3
33,This is Que of pol 33,opt1,opt2,opt3,opt4,3
34,This is Que of pol 34,opt1,opt2,opt3,opt4,3
35,This is Que of pol 35,opt1,opt2,opt3,opt4,3
36,This is Que of pol 36,opt1,opt2,opt3,opt4,3
37,This is Que of pol 37,opt1,opt2,opt3,opt4,3
38,This is Que of pol 38,opt1,opt2,opt3,opt4,3
39,This is Que of pol 39,opt1,opt2,opt3,opt4,3
40,This is Que of pol 40,opt1,opt2,opt3,opt4,3
41,This is Que of pol 41,opt1,opt2,opt3,opt4,3
42,This is Que of pol 42,opt1,opt2,opt3,opt4,3
43,This is Que of pol 43,opt1,opt2,opt3,opt4,3
44,This is Que of pol 44,opt1,opt2,opt3,opt4,3
45,This is Que of pol 45,opt1,opt2,opt3,opt4,3
46,This is Que of pol 46,opt1,opt2,opt3,opt4,3
47,This is Que of pol 47,opt1,opt2,opt3,opt4,3
48,This is Que of pol 48,opt1,opt2,opt3,opt4,3
49,This is Que of pol 49,opt1,opt2,opt3,opt4,3
50,This is Que of pol 50,opt1,opt2,opt3,opt4,3
51,This is Que of pol 51,opt1,opt2,opt3,opt4,3
52,This is Que of pol 52,opt1,opt2,opt3,opt4,3
53,This is Que of pol 53,opt1,opt2,opt3,opt4,3
54,This is Que of pol 54,opt1,opt2,opt3,opt4,3
55,This is Que of pol 55,opt1,opt2,opt3,opt4,3
56,This is Que of pol 56,opt1,opt2,opt3,opt4,3
57,This is Que of pol 57,opt1,opt2,opt3,opt4,3
58,This is Que of pol 58,opt1,opt2,opt3,opt4,3
59,This is Que of pol 59,opt1,opt2,opt3,opt4,3
60,This is Que of pol 60,opt1,opt2,opt3,opt4,3
61,This is Que of pol 61,opt1,opt2,opt3,opt4,3
62,This is Que of pol 62,opt1,opt2,opt3,opt4,3
63,This is Que of pol 63,opt1,opt2,opt3,opt4,3
64,This is Que of pol 64,opt1,opt2,opt3,opt4,3
65,This is Que of pol 65,opt1,opt2,opt3,opt4,3
66,This is Que of pol 66,opt1,opt2,opt3,opt4,3
67,This is Que of pol 67,opt1,opt2,opt3,opt4,3
68,This is Que of pol 68,opt1,opt2,opt3,opt4,3
69,This is Que of pol 69,opt1,opt2,opt3,opt4,3
70,This is Que of pol 70,opt1,opt2,opt3,opt4,3
71,This is Que of pol 71,opt1,opt2,opt3,opt4,3
72,This is Que of pol 72,opt1,opt2,opt3,opt4,3
73,This is Que of pol 73,opt1,opt2,opt3,opt4,3
74,This is Que of pol 74,opt1,opt2,opt3,opt4,3
75,This is Que of pol 75,opt1,opt2,opt3,opt4,3
76,This is Que of pol 76,opt1,opt2,opt3,opt4,3
77,This is Que of pol 77,opt1,opt2,opt3,opt4,3
78,This is Que of pol 78,opt1,opt2,opt3,opt4,3
79,This is Que of pol 79,opt1,opt2,opt3,opt4,3
80,This is Que of pol 80,opt1,opt2,opt3,opt4,3
81,This is Que of pol 81,opt1,opt2,opt3,opt4,3
82,This is Que of pol 82,opt1,opt2,opt3,opt4,3
83,This is Que of pol 83,opt1,opt2,opt3,opt4,3
84,This is Que of pol 84,opt1,opt2,opt3,opt4,3
