Index,Question,A,B,C,D,answer
01,This is Que of spo 1,opt1,opt2,opt3,opt4,3
02,This is Que of spo 2,opt1,opt2,opt3,opt4,3
03,This is Que of spo 3,opt1,opt2,opt3,opt4,3
04,This is Que of spo 4,opt1,opt2,opt3,opt4,3
05,This is Que of spo 5,opt1,opt2,opt3,opt4,3
06,This is Que of spo 6,opt1,opt2,opt3,opt4,3
07,This is Que of spo 7,opt1,opt2,opt3,opt4,3
08,This is Que of spo 8,opt1,opt2,opt3,opt4,3
09,This is Que of spo 9,opt1,opt2,opt3,opt4,3
10,This is Que of spo 10,opt1,opt2,opt3,opt4,3
11,This is Que of spo 11,opt1,opt2,opt3,opt4,3
12,This is Que of spo 12,opt1,opt2,opt3,opt4,3
13,This is Que of spo 13,opt1,opt2,opt3,opt4,3
14,This is Que of spo 14,opt1,opt2,opt3,opt4,3
15,This is Que of spo 15,opt1,opt2,opt3,opt4,3
16,This is Que of spo 16,opt1,opt2,opt3,opt4,3
17,This is Que of spo 17,opt1,opt2,opt3,opt4,3
18,This is Que of spo 18,opt1,opt2,opt3,opt4,3
19,This is Que of spo 19,opt1,opt2,opt3,opt4,3
20,This is Que of spo 20,opt1,opt2,opt3,opt4,3
21,This is Que of spo 21,opt1,opt2,opt3,opt4,3
22,This is Que of spo 22,opt1,opt2,opt3,opt4,3
23,This is Que of spo 23,opt1,opt2,opt3,opt4,3
24,This is Que of spo 24,opt1,opt2,opt3,opt4,3
25,This is Que of spo 25,opt1,opt2,opt3,opt4,3
26,This is Que of spo 26,opt1,opt2,opt3,opt4,3
27,This is Que of spo 27,opt1,opt2,opt3,opt4,3
28,This is Que of spo 28,opt1,opt2,opt3,opt4,3
29,This is Que of spo 29,opt1,opt2,opt3,opt4,3
30,This is Que of spo 30,opt1,opt2,opt3,opt4,3
31,This is Que of spo 31,opt1,opt2,opt3,opt4,3
32,This is Que of spo 32,opt1,opt2,opt3,opt4,3
33,This is Que of spo 33,opt1,opt2,opt3,opt4,3
34,This is Que of spo 34,opt1,opt2,opt3,opt4,3
35,This is Que of spo 35,opt1,opt2,opt3,opt4,3
36,This is Que of spo 36,opt1,opt2,opt3,opt4,3
37,This is Que of spo 37,opt1,opt2,opt3,opt4,3
38,This is Que of spo 38,opt1,opt2,opt3,opt4,3
39,This is Que of spo 39,opt1,opt2,opt3,opt4,3
40,This is Que of spo 40,opt1,opt2,opt3,opt4,3
41,This is Que of spo 41,opt1,opt2,opt3,opt4,3
42,This is Que of spo 42,opt1,opt2,opt3,opt4,3
43,This is Que of spo 43,opt1,opt2,opt3,opt4,3
44,This is Que of spo 44,opt1,opt2,opt3,opt4,3
45,This is Que of spo 45,opt1,opt2,opt3,opt4,3
46,This is Que of spo 46,opt1,opt2,opt3,opt4,3
47,This is Que of spo 47,opt1,opt2,opt3,opt4,3
48,This is Que of spo 48,opt1,opt2,opt3,opt4,3
49,This is Que of spo 49,opt1,opt2,opt3,opt4,3
50,This is Que of spo 50,opt1,opt2,opt3,opt4,3
51,This is Que of spo 51,opt1,opt2,opt3,opt4,3
52,This is Que of spo 52,opt1,opt2,opt3,opt4,3
53,This is Que of spo 53,opt1,opt2,opt3,opt4,3
54,This is Que of spo 54,opt1,opt2,opt3,opt4,3
55,This is Que of spo 55,opt1,opt2,opt3,opt4,3
56,This is Que of spo 56,opt1,opt2,opt3,opt4,3
57,This is Que of spo 57,opt1,opt2,opt3,opt4,3
58,This is Que of spo 58,opt1,opt2,opt3,opt4,3
59,This is Que of spo 59,opt1,opt2,opt3,opt4,3
60,This is Que of spo 60,opt1,opt2,opt3,opt4,3
61,This is Que of spo 61,opt1,opt2,opt3,opt4,3
62,This is Que of spo 62,opt1,opt2,opt3,opt4,3
63,This is Que of spo 63,opt1,opt2,opt3,opt4,3
64,This is Que of spo 64,opt1,opt2,opt3,opt4,3
65,This is Que of spo 65,opt1,opt2,opt3,opt4,3
66,This is Que of spo 66,opt1,opt2,opt3,opt4,3
67,This is Que of spo 67,opt1,opt2,opt3,opt4,3
68,This is Que of spo 68,opt1,opt2,opt3,opt4,3
69,This is Que of spo 69,opt1,opt2,opt3,opt4,3
70,This is Que of spo 70,opt1,opt2,opt3,opt4,3
71,This is Que of spo 71,opt1,opt2,opt3,opt4,3
72,This is Que of spo 72,opt1,opt2,opt3,opt4,3
73,This is Que of spo 73,opt1,opt2,opt3,opt4,3
74,This is Que of spo 74,opt1,opt2,opt3,opt4,3
75,This is Que of spo 75,opt1,opt2,opt3,opt4,3
76,This is Que of spo 76,opt1,opt2,opt3,opt4,3
77,This is Que of spo 77,opt1,opt2,opt3,opt4,3
78,This is Que of spo 78,opt1,opt2,opt3,opt4,3
79,This is Que of spo 79,opt1,opt2,opt3,opt4,3
80,This is Que of spo 80,opt1,opt2,opt3,opt4,3
81,This is Que of spo 81,opt1,opt2,opt3,opt4,3
82,This is Que of spo 82,opt1,opt2,opt3,opt4,3
83,This is Que of spo 83,opt1,opt2,opt3,opt4,3
84,This is Que of spo 84,opt1,opt2,opt3,opt4,3
85,This is Que of spo 85,opt1,opt2,opt3,opt4,3
86,This is Que of spo 86,opt1,opt2,opt3,opt4,3
87,This is Que of spo 87,opt1,opt2,opt3,opt4,3
88,This is Que of spo 88,opt1,opt2,opt3,opt4,3
89,This is Que of spo 89,opt1,opt2,opt3,opt4,3
90,This is Que of spo 90,opt1,opt2,opt3,opt4,3
91,This is Que of spo 91,opt1,opt2,opt3,opt4,3
92,This is Que of spo 92,opt1,opt2,opt3,opt4,3
93,This is Que of spo 93,opt1,opt2,opt3,opt4,3
94,This is Que of spo 94,opt1,opt2,opt3,opt4,3
95,This is Que of spo 95,opt1,opt2,opt3,opt4,3
96,This is Que of spo 96,opt1,opt2,opt3,opt4,3
97,This is Que of spo 97,opt1,opt2,opt3,opt4,3
98,This is Que of spo 98,opt1,opt2,opt3,opt4,3
99,This is Que of spo 99,opt1,opt2,opt3,opt4,3
100,This is Que of spo 100,opt1,opt2,opt3,opt4,3
